Year,Australia,Canada,China,France,England,HongKong,India,Mexico,Sweden,USA
2000,4.16E+11,7.45E+11,1.21E+12,1.36E+12,1.66E+12,1.72E+11,4.68E+11,7.08E+11,2.63E+11,1.03E+13
2001,3.79E+11,7.39E+11,1.34E+12,1.38E+12,1.64E+12,1.69E+11,4.85E+11,7.57E+11,2.42E+11,1.06E+13
2002,3.95E+11,7.61E+11,1.47E+12,1.49E+12,1.78E+12,1.66E+11,5.15E+11,7.72E+11,2.67E+11,1.09E+13
2003,4.67E+11,8.96E+11,1.66E+12,1.84E+12,2.06E+12,1.61E+11,6.08E+11,7.29E+11,3.34E+11,1.15E+13
2004,6.14E+11,1.03E+12,1.96E+12,2.12E+12,2.42E+12,1.69E+11,7.09E+11,7.82E+11,3.85E+11,1.22E+13
2005,6.95E+11,1.17E+12,2.29E+12,2.2E+12,2.54E+12,1.82E+11,8.2E+11,8.77E+11,3.92E+11,1.3E+13
2006,7.48E+11,1.32E+12,2.75E+12,2.32E+12,2.72E+12,1.94E+11,9.4E+11,9.75E+11,4.23E+11,1.38E+13
2007,8.54E+11,1.47E+12,3.55E+12,2.66E+12,3.11E+12,2.12E+11,1.22E+12,1.05E+12,4.91E+11,1.45E+13
2008,1.06E+12,1.55E+12,4.59E+12,2.92E+12,2.94E+12,2.19E+11,1.2E+12,1.11E+12,5.18E+11,1.47E+13
2009,9.28E+11,1.37E+12,5.1E+12,2.69E+12,2.43E+12,2.14E+11,1.34E+12,9E+11,4.37E+11,1.44E+13
2010,1.15E+12,1.62E+12,6.09E+12,2.64E+12,2.49E+12,2.29E+11,1.68E+12,1.06E+12,4.96E+11,1.5E+13
2011,1.4E+12,1.79E+12,7.55E+12,2.86E+12,2.67E+12,2.49E+11,1.82E+12,1.18E+12,5.74E+11,1.55E+13
2012,1.55E+12,1.83E+12,8.53E+12,2.68E+12,2.72E+12,2.63E+11,1.83E+12,1.2E+12,5.52E+11,1.62E+13
2013,1.58E+12,1.85E+12,9.57E+12,2.81E+12,2.8E+12,2.76E+11,1.86E+12,1.27E+12,5.87E+11,1.68E+13
2014,1.47E+12,1.81E+12,1.05E+13,2.85E+12,3.09E+12,2.91E+11,2.04E+12,1.32E+12,5.82E+11,1.75E+13
2015,1.35E+12,1.56E+12,1.11E+13,2.44E+12,2.96E+12,3.09E+11,2.1E+12,1.17E+12,5.05E+11,1.82E+13
2016,1.21E+12,1.53E+12,1.12E+13,2.47E+12,2.72E+12,3.21E+11,2.29E+12,1.08E+12,5.16E+11,1.87E+13
2017,1.33E+12,1.65E+12,1.23E+13,2.59E+12,2.7E+12,3.41E+11,2.65E+12,1.16E+12,5.41E+11,1.95E+13
2018,1.43E+12,1.73E+12,1.39E+13,2.79E+12,2.9E+12,3.62E+11,2.7E+12,1.22E+12,5.55E+11,2.06E+13
2019,1.39E+12,1.74E+12,1.43E+13,2.73E+12,2.88E+12,3.63E+11,2.87E+12,1.27E+12,5.34E+11,2.14E+13
2020,1.33E+12,1.65E+12,1.47E+13,2.63E+12,2.76E+12,3.47E+11,2.66E+12,1.07E+12,5.41E+11,2.1E+13
